Code,ROE_Pct,5D_Return,7D_Return,Volume_Ratio,Price/High,Appearances_7D,Level,run_time
600111,,0.071,0.08,2.61,0.82,2,1,2026-01-11 16:28:33
600879,,0.346,0.488,0.97,1.0,3,2,2026-01-11 16:28:33
002792,,0.423,0.431,0.87,1.0,2,2,2026-01-11 16:28:33
002050,,0.033,0.197,1.58,1.0,1,1,2026-01-11 16:29:15
600410,,0.187,0.184,2.52,0.81,1,1,2026-01-11 16:29:15
002400,,0.169,0.24,2.6,0.83,1,1,2026-01-11 16:29:15
002131,,0.323,0.463,4.79,1.0,1,2,2026-01-11 16:29:15
301171,,0.301,0.497,2.37,1.0,1,2,2026-01-11 16:29:15
300063,,0.266,0.344,3.36,0.81,1,2,2026-01-11 16:29:15
300058,,0.491,0.915,2.59,1.0,1,2,2026-01-11 16:29:15
000547,,0.145,0.219,1.04,1.0,2,1,2026-01-11 16:31:18
002340,,0.049,0.096,2.75,0.65,2,1,2026-01-11 16:31:18
300604,,0.22,0.166,1.27,0.98,2,1,2026-01-11 16:31:18
600111,,0.071,0.08,2.61,0.82,2,1,2026-01-11 16:31:18
600879,,0.346,0.488,0.97,1.0,3,2,2026-01-11 16:31:18
002792,,0.423,0.431,0.87,1.0,2,2,2026-01-11 16:31:18
000547,,0.145,0.219,1.04,1.0,2,1,2026-01-11 16:41:09
002340,,0.049,0.096,2.75,0.65,2,1,2026-01-11 16:41:09
300604,,0.22,0.166,1.27,0.98,2,1,2026-01-11 16:41:09
600111,,0.071,0.08,2.61,0.82,2,1,2026-01-11 16:41:09
600879,,0.346,0.488,0.97,1.0,3,2,2026-01-11 16:41:09
002792,,0.423,0.431,0.87,1.0,2,2,2026-01-11 16:41:09
002050,,0.033,0.197,1.58,1.0,1,1,2026-01-11 16:41:42
600410,,0.187,0.184,2.52,0.81,1,1,2026-01-11 16:41:42
002400,,0.169,0.24,2.6,0.83,1,1,2026-01-11 16:41:42
002131,,0.323,0.463,4.79,1.0,1,2,2026-01-11 16:41:42
301171,,0.301,0.497,2.37,1.0,1,2,2026-01-11 16:41:42
300063,,0.266,0.344,3.36,0.81,1,2,2026-01-11 16:41:42
300058,,0.491,0.915,2.59,1.0,1,2,2026-01-11 16:41:42
600111,,0.12,0.142,2.93,0.87,3,1,2026-01-12 11:50:45
300059,,0.055,0.069,2.38,0.84,2,1,2026-01-12 11:50:45
002371,,0.058,0.093,1.68,0.97,2,1,2026-01-12 11:50:45
002340,,0.046,0.077,2.81,0.65,2,1,2026-01-12 11:50:45
300604,,0.214,0.217,1.26,1.0,2,1,2026-01-12 11:50:45
600879,,0.451,0.628,0.84,1.0,3,2,2026-01-12 11:50:45
600118,,0.173,0.351,0.84,1.0,2,2,2026-01-12 11:50:45
000981,,0.267,0.273,1.34,0.85,2,2,2026-01-12 11:50:45
000547,,0.209,0.333,1.03,1.0,2,2,2026-01-12 11:50:45
002792,,0.46,0.684,0.65,1.0,2,2,2026-01-12 11:50:45
002195,,0.46,0.639,7.54,1.0,2,2,2026-01-12 11:50:45
300059,,0.055,0.069,2.38,0.84,1,1,2026-01-12 12:11:23
002600,,0.151,0.158,1.47,1.0,1,1,2026-01-12 12:11:23
600839,,0.101,0.143,1.89,0.63,1,1,2026-01-12 12:11:23
600111,,0.12,0.142,2.93,0.87,1,1,2026-01-12 12:11:23
000066,,0.137,0.163,2.08,0.72,1,1,2026-01-12 12:11:23
600118,,0.173,0.351,0.84,1.0,1,2,2026-01-12 12:11:23
000981,,0.267,0.273,1.34,0.85,1,2,2026-01-12 12:11:23
002195,,0.46,0.639,7.54,1.0,1,2,2026-01-12 12:11:23
002465,,0.269,0.455,2.65,1.0,1,2,2026-01-12 12:11:23
300059,,0.03,0.064,1.3,0.84,3,1,2026-01-13 21:14:17
600111,,0.014,0.093,1.61,0.85,3,1,2026-01-13 21:14:17
002565,,-0.042,0.053,0.77,0.81,2,1,2026-01-13 21:14:17
000725,,0.067,0.099,1.01,0.67,2,1,2026-01-13 21:14:17
002340,,-0.049,0.052,1.45,0.65,2,1,2026-01-13 21:14:17
300604,,0.026,0.218,0.84,1.0,2,1,2026-01-13 21:14:17
600879,,0.256,0.37,0.78,0.94,4,2,2026-01-13 21:14:17
000981,,0.239,0.395,1.12,0.94,3,2,2026-01-13 21:14:17
002195,,0.386,0.677,11.64,1.0,3,2,2026-01-13 21:14:17
002792,,0.255,0.427,0.65,0.93,2,2,2026-01-13 21:14:17
002639,,0.261,0.417,1.07,1.0,2,2,2026-01-13 21:14:17
601179,,0.246,0.396,2.33,1.0,2,2,2026-01-13 21:14:17
300059,,0.03,0.064,1.31,0.84,1,1,2026-01-13 21:16:12
601216,,0.06,0.159,1.69,0.59,1,1,2026-01-13 21:16:12
000725,,0.067,0.099,1.01,0.67,1,1,2026-01-13 21:16:12
000981,,0.243,0.4,1.12,0.94,1,2,2026-01-13 21:16:12
002195,,0.387,0.678,11.67,1.0,1,2,2026-01-13 21:16:12
600879,,0.266,0.38,0.79,0.95,1,2,2026-01-13 21:16:12
603000,,0.412,0.437,4.31,0.67,1,2,2026-01-13 21:16:12
600879,,0.049,0.144,0.82,0.87,4,1,2026-01-14 20:28:37
300059,,0.009,-0.036,1.39,0.81,3,1,2026-01-14 20:28:37
600111,,0.023,0.035,1.37,0.83,3,1,2026-01-14 20:28:37
002565,,-0.183,-0.051,0.63,0.76,2,1,2026-01-14 20:28:37
000725,,0.044,0.009,1.09,0.66,2,1,2026-01-14 20:28:37
002792,,-0.011,0.197,0.69,0.81,2,1,2026-01-14 20:28:37
300604,,0.028,0.141,0.8,0.98,2,1,2026-01-14 20:28:37
000981,,0.197,0.267,1.07,0.94,3,2,2026-01-14 20:28:37
002195,,0.163,0.407,4.38,0.92,3,2,2026-01-14 20:28:37
002639,,0.047,0.268,1.06,0.93,2,2,2026-01-14 20:28:37
601179,,0.212,0.328,1.91,1.0,2,2,2026-01-14 20:28:37
600879,,0.027,0.119,0.88,0.85,4,1,2026-01-15 09:44:08
000981,,0.081,0.143,1.33,0.85,3,1,2026-01-15 09:44:08
600111,,0.035,0.047,1.58,0.84,3,1,2026-01-15 09:44:08
002565,,-0.22,-0.095,0.72,0.73,2,1,2026-01-15 09:44:08
000725,,0.041,0.007,1.29,0.65,2,1,2026-01-15 09:44:08
002792,,-0.011,0.197,0.71,0.81,2,1,2026-01-15 09:44:08
002639,,0.003,0.214,1.16,0.89,2,1,2026-01-15 09:44:08
300604,,0.11,0.233,1.0,1.0,2,1,2026-01-15 09:44:08
002195,,0.144,0.383,4.54,0.9,3,2,2026-01-15 09:44:08
601179,,0.273,0.395,2.4,1.0,2,2,2026-01-15 09:44:08
600584,,0.175,0.238,2.29,0.96,1,1,2026-01-15 23:08:29
601669,,0.076,0.088,3.61,0.63,1,1,2026-01-15 23:08:29
600111,,0.043,0.02,1.38,0.85,1,1,2026-01-15 23:08:29
002156,,0.086,0.133,1.56,0.97,1,1,2026-01-15 23:08:29
000981,,0.084,0.107,1.29,0.84,3,1,2026-01-16 17:33:50
600879,,-0.106,0.082,0.84,0.81,3,1,2026-01-16 17:33:50
600111,,0.032,0.01,1.45,0.85,3,1,2026-01-16 17:33:50
002195,,0.032,0.131,2.03,0.81,3,1,2026-01-16 17:33:50
002792,,-0.149,-0.007,0.69,0.74,2,1,2026-01-16 17:33:50
300604,,0.121,0.1,1.06,1.0,2,1,2026-01-16 17:33:50
601179,,0.202,0.232,2.41,0.97,2,1,2026-01-16 17:33:50
600584,,0.175,0.238,2.33,0.96,1,1,2026-01-16 17:35:16
002156,,0.12,0.169,1.71,1.0,1,1,2026-01-16 17:35:16
601669,,0.074,0.086,3.99,0.63,1,1,2026-01-16 17:35:16
000981,,-0.01,0.076,1.12,0.84,3,1,2026-01-19 19:38:24
600111,,-0.027,0.048,1.1,0.85,3,1,2026-01-19 19:38:24
002195,,-0.155,-0.073,1.99,0.73,3,1,2026-01-19 19:38:24
300604,,0.075,0.118,1.0,1.0,2,1,2026-01-19 19:38:24
601179,,0.261,0.361,2.22,1.0,3,2,2026-01-19 19:38:24
000066,,0.065,0.072,1.31,0.77,2,1,2026-01-20 20:51:24
688041,,0.152,0.177,1.09,1.0,2,1,2026-01-20 20:51:24
601179,,0.266,0.421,1.53,1.0,3,2,2026-01-20 20:51:24
000066,,0.065,0.072,1.32,0.77,1,1,2026-01-20 20:54:41
688041,,0.138,0.164,1.1,1.0,1,1,2026-01-20 20:54:41
002049,,0.109,0.104,2.39,0.51,1,1,2026-01-20 20:54:41
000066,,0.104,0.093,2.25,0.79,2,1,2026-01-23 20:35:44
688041,,0.13,0.097,1.51,0.96,2,1,2026-01-23 20:35:44
000066,,0.104,0.093,2.25,0.79,2,1,2026-01-25 19:39:25
688800,,-0.006,0.073,0.68,0.98,2,1,2026-01-28 20:29:43
301526,,0.058,0.24,0.78,1.0,1,1,2026-01-28 20:30:39
600392,,0.143,0.168,1.19,1.0,1,1,2026-01-28 20:30:39
300251,,0.33,0.424,2.54,0.79,2,2,2026-02-22 13:47:53
300251,22.01,0.023,0.045,2.49,0.63,2,1,2026-02-24 19:56:14
